type,theta,rep,n_pert,n_causal,TPR_S1,TPR_S2,TPR_comb,AUROC_S1,AUROC_S2,AUROC_comb,time
A,0.1,0,100,20,0.5,0.25,0.4,0.8769791666666666,0.5311979166666667,0.7497916666666666,2.4178378582000732
A,0.1,1,100,20,0.6,0.3,0.35,0.8779166666666667,0.5436458333333334,0.7760937499999999,2.434140920639038
A,0.1,2,100,20,0.3,0.25,0.25,0.5994270833333334,0.48458333333333337,0.5240104166666667,2.4038360118865967
A,0.2,0,100,20,0.65,0.25,0.35,0.9129166666666666,0.49484374999999997,0.7957291666666666,2.4155478477478027
A,0.2,1,100,20,0.7,0.4,0.45,0.9201041666666667,0.52484375,0.78953125,2.404201030731201
A,0.2,2,100,20,0.4,0.3,0.25,0.6965625,0.51609375,0.6144791666666667,2.4530880451202393
A,0.3,0,100,20,0.85,0.3,0.35,0.9558333333333333,0.4965104166666666,0.8625,2.399144172668457
A,0.3,1,100,20,0.8,0.25,0.45,0.9494270833333333,0.5326041666666667,0.8443229166666666,2.3307442665100098
A,0.3,2,100,20,0.55,0.2,0.3,0.81828125,0.5027083333333333,0.7113020833333333,2.442410945892334
A,0.4,0,100,20,0.9,0.25,0.5,0.9743229166666667,0.573125,0.9016666666666667,2.3987016677856445
A,0.4,1,100,20,0.8,0.3,0.55,0.9475520833333333,0.5769270833333333,0.8522395833333334,2.414067029953003
A,0.4,2,100,20,0.7,0.3,0.3,0.9080729166666666,0.52078125,0.8166145833333334,2.426370143890381
A,0.5,0,100,20,0.9,0.35,0.55,0.993125,0.6082812499999999,0.9464583333333333,3.0444459915161133
A,0.5,1,100,20,0.9,0.35,0.65,0.9415625000000001,0.6077604166666666,0.8681770833333333,4.0919270515441895
A,0.5,2,100,20,0.75,0.35,0.5,0.9713020833333333,0.5655208333333334,0.89203125,3.103867769241333
A,0.7,0,100,20,1.0,0.35,0.8,1.0,0.678125,0.9681249999999999,2.402845859527588
A,0.7,1,100,20,0.9,0.3,0.65,0.9521354166666666,0.6159375,0.8863541666666668,2.3972816467285156
A,0.7,2,100,20,1.0,0.25,0.55,0.9963541666666667,0.59125,0.9451041666666666,2.522404909133911
A,1.0,0,100,20,1.0,0.35,0.7,1.0,0.6426041666666666,0.9551041666666668,3.5077688694000244
A,1.0,1,100,20,0.9,0.4,0.65,0.9722395833333333,0.6508333333333334,0.9007291666666666,3.7969589233398438
A,1.0,2,100,20,1.0,0.35,0.8,0.9989583333333333,0.6427083333333333,0.9664583333333332,2.4660251140594482
B,0.1,0,100,20,0.35,0.0,0.3,0.7813020833333333,0.46848958333333335,0.6527083333333332,2.368668794631958
B,0.1,1,100,20,0.5,0.05,0.4,0.7596875,0.5331770833333334,0.7027604166666667,2.3966829776763916
B,0.1,2,100,20,0.25,0.0,0.2,0.55828125,0.4363541666666667,0.4973437500000001,2.3675968647003174
B,0.2,0,100,20,0.3,0.0,0.3,0.7877083333333332,0.5308854166666667,0.69484375,2.388115882873535
B,0.2,1,100,20,0.5,0.15,0.3,0.7915104166666667,0.48187499999999994,0.7202083333333333,2.353508234024048
B,0.2,2,100,20,0.25,0.0,0.15,0.5591145833333333,0.41171875,0.4803645833333333,2.3887779712677
B,0.3,0,100,20,0.5,0.05,0.35,0.8427604166666667,0.47739583333333335,0.7385416666666668,2.383976936340332
B,0.3,1,100,20,0.5,0.05,0.4,0.8008854166666667,0.48927083333333343,0.71875,2.3934781551361084
B,0.3,2,100,20,0.25,0.1,0.2,0.55609375,0.46583333333333327,0.5049479166666666,2.3742709159851074
B,0.4,0,100,20,0.45,0.05,0.3,0.77734375,0.4783854166666667,0.6525000000000001,2.355659008026123
B,0.4,1,100,20,0.55,0.0,0.4,0.8757291666666667,0.5023958333333333,0.7657291666666666,2.350994110107422
B,0.4,2,100,20,0.15,0.0,0.15,0.5791145833333333,0.4576562500000001,0.5271875,2.4736592769622803
B,0.5,0,100,20,0.65,0.0,0.4,0.853125,0.46515625,0.745625,3.182543992996216
B,0.5,1,100,20,0.55,0.15,0.35,0.8610937499999999,0.5283854166666667,0.7836979166666667,2.9188232421875
B,0.5,2,100,20,0.4,0.0,0.25,0.6469270833333333,0.46005208333333336,0.5788541666666667,2.264362096786499
B,0.7,0,100,20,0.8,0.05,0.45,0.9336979166666667,0.5418749999999999,0.866875,2.288076877593994
B,0.7,1,100,20,0.7,0.05,0.45,0.9273958333333333,0.52046875,0.8308333333333333,2.278144121170044
B,0.7,2,100,20,0.45,0.05,0.25,0.8866666666666667,0.44572916666666673,0.7608333333333334,2.2790322303771973
B,1.0,0,100,20,0.9,0.1,0.6,0.9714583333333332,0.5517708333333333,0.9294791666666666,2.2697672843933105
B,1.0,1,100,20,0.85,0.05,0.55,0.9329687500000001,0.5595833333333333,0.8753124999999999,2.275099277496338
B,1.0,2,100,20,0.8,0.2,0.4,0.9686979166666666,0.5327604166666667,0.87375,2.2826130390167236
C,0.1,0,100,20,0.35,0.0,0.3,0.7813020833333333,0.46848958333333335,0.6527083333333332,2.2844817638397217
C,0.1,1,100,20,0.5,0.05,0.4,0.7596875,0.5331770833333334,0.7027604166666667,2.2867431640625
C,0.1,2,100,20,0.25,0.0,0.2,0.55828125,0.4363541666666667,0.4973437500000001,2.300219774246216
C,0.2,0,100,20,0.3,0.0,0.3,0.7877083333333332,0.5308854166666667,0.69484375,2.2972958087921143
C,0.2,1,100,20,0.5,0.15,0.3,0.7915104166666667,0.48187499999999994,0.7202083333333333,2.274672746658325
C,0.2,2,100,20,0.25,0.0,0.15,0.5591145833333333,0.41171875,0.4803645833333333,2.261924982070923
C,0.3,0,100,20,0.5,0.05,0.35,0.8427604166666667,0.47739583333333335,0.7385416666666668,2.3015377521514893
C,0.3,1,100,20,0.5,0.05,0.4,0.8008854166666667,0.48927083333333343,0.71875,2.2527239322662354
C,0.3,2,100,20,0.25,0.1,0.2,0.55609375,0.46583333333333327,0.5049479166666666,2.282417058944702
C,0.4,0,100,20,0.45,0.05,0.3,0.77734375,0.4783854166666667,0.6525000000000001,2.2593600749969482
C,0.4,1,100,20,0.55,0.0,0.4,0.8757291666666667,0.5023958333333333,0.7657291666666666,2.275280714035034
C,0.4,2,100,20,0.15,0.0,0.15,0.5791145833333333,0.4576562500000001,0.5271875,2.2774956226348877
C,0.5,0,100,20,0.65,0.0,0.4,0.853125,0.46515625,0.745625,2.291835069656372
C,0.5,1,100,20,0.55,0.15,0.35,0.8610937499999999,0.5283854166666667,0.7836979166666667,2.317790985107422
C,0.5,2,100,20,0.4,0.0,0.25,0.6469270833333333,0.46005208333333336,0.5788541666666667,2.2862539291381836
C,0.7,0,100,20,0.8,0.05,0.45,0.9336979166666667,0.5418749999999999,0.866875,2.2715415954589844
C,0.7,1,100,20,0.7,0.05,0.45,0.9273958333333333,0.52046875,0.8308333333333333,2.2553861141204834
C,0.7,2,100,20,0.45,0.05,0.25,0.8866666666666667,0.44572916666666673,0.7608333333333334,2.2918736934661865
C,1.0,0,100,20,0.9,0.1,0.6,0.9714583333333332,0.5517708333333333,0.9294791666666666,2.286046266555786
C,1.0,1,100,20,0.85,0.05,0.55,0.9329687500000001,0.5595833333333333,0.8753124999999999,2.274007797241211
C,1.0,2,100,20,0.8,0.2,0.4,0.9686979166666666,0.5327604166666667,0.87375,2.594381093978882
